,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
10124,10125,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository,14,10,DevOps specialist,"10,000 or more employees",I have some influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit;Other (please specify):,Is set up to be customized and needs to be engineered into a usable product,Customization;Integrated developer community;Frequent updates to features,Australia,AUD	Australian dollar,250000.0,Java;Kotlin;Python;SQL;TypeScript,Java;Kotlin;Python;TypeScript,Java;Kotlin;Python;TypeScript,SQLite,Dynamodb,,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Node.js;Spring Boot,Spring Boot,Spring Boot,,,,,,,Docker;Maven (build tool);Terraform;Vite,Docker;Maven (build tool);Terraform;Vite,Docker;Maven (build tool);Terraform;Vite,IntelliJ IDEA;Jupyter Notebook/JupyterLab,IntelliJ IDEA,IntelliJ IDEA,MacOS,MacOS,Confluence;Jira,Confluence;Jira,Confluence;Jira,Signal;Slack;Telegram;Whatsapp;Zoom,Signal;Slack;Telegram;Whatsapp;Zoom,Signal;Slack;Telegram;Whatsapp;Zoom,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency,Neither trust nor distrust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Search for answers,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Predictive analytics,Deployment and monitoring;Generating content or synthetic data,Search for answers,,Writing code;Documenting code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,,Yes,Individual contributor,10.0,Strongly agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Strongly agree,1-2 times a week,3-5 times a week,3-5 times a week,15-30 minutes a day,60-120 minutes a day,Amount of technical debt;Showing my contributions;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,Other:,2.0,5.0,3.0,15.0,40.0,20.0,10.0,5.0,0.0,Appropriate in length,Easy,165165.0,8.0
10257,10258,I code primarily as a hobby,Under 18 years old,"Student, full-time",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media;Written-based Online Courses,User guides or README files found in the source repository;Traditional public search engine,3,,,,,,,,Australia,,,HTML/CSS;Java;JavaScript;TypeScript,C++;HTML/CSS;JavaScript;Kotlin;TypeScript,HTML/CSS;JavaScript;TypeScript,SQLite,MariaDB;SQLite,SQLite,Netlify,,,Deno;Htmx;jQuery;Node.js;Remix;Vue.js,Astro;Deno;Htmx;jQuery;Vue.js,Deno;Htmx;jQuery;Vue.js,Arduino,LLVM's Clang;Meson,,Electron,Electron;OpenGL,Electron,Chocolatey;npm;pnpm,Chocolatey;Docker;pnpm,Chocolatey;pnpm,Android Studio;Nano;Visual Studio Code,Nano;Visual Studio Code,Nano;Visual Studio Code,Other Linux-based,Other Linux-based,GitHub Discussions;Wikis,Wikis,Wikis,Discord;Matrix,Discord;Matrix,Discord;Matrix,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
10350,10351,I am a developer by profession,18-24 years old,"Employed, full-time;Student, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Books;Social Media;Video-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine,4,Less than 1 year,"Developer, full-stack",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd;Other (please specify):,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project;Other:,Australia,AUD	Australian dollar,65000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lisp;Python;TypeScript,Go;JavaScript;Python;Rust,JavaScript;Python,,,,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),Django;Node.js;React,Deno;Node.js;React;Svelte,Node.js;React,,,,CUDA;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Flutter;React Native,,APT;npm;pnpm;Webpack,APT;Bun;Docker;pnpm,APT;pnpm,IntelliJ IDEA;Neovim;Notepad++;PyCharm;Visual Studio Code,IntelliJ IDEA;Neovim;Notepad++;PyCharm;Visual Studio Code;WebStorm,IntelliJ IDEA;Neovim;Notepad++;PyCharm;Visual Studio Code,iOS;Windows;Windows Subsystem for Linux (WSL),Ubuntu,Markdown File,Markdown File;Miro;Obsidian,Markdown File,Discord;Microsoft Teams,Microsoft Teams,Microsoft Teams,,,,Stack Overflow;Stack Exchange,A few times per week,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,0.0,Agree,Disagree,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,42943.0,
10551,10552,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Coding Bootcamp",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),3,2,"Developer, desktop or enterprise applications","10,000 or more employees",I have little or no influence,Start a free trial,Is ready-to-go but also customizable for growth and targeted use cases,Integrated developer community;Reputation for quality and excellence,Australia,AUD	Australian dollar,126000.0,JavaScript,JavaScript,JavaScript,Firebase Realtime Database,Firebase Realtime Database,Firebase Realtime Database,,,,React,React,React,,,,React Native,React Native,React Native,,,,Visual Studio Code,Visual Studio Code,Visual Studio Code,MacOS;Windows,MacOS;Windows,,,,Microsoft Teams,Microsoft Teams,Microsoft Teams,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Favorable,Speed up learning,Highly distrust,Very poor at handling complex tasks,Debugging and getting help;Search for answers,Learning about a codebase;Writing code;Documenting code,,,,Debugging and getting help;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,2.0,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly disagree,Never,3-5 times a week,Never,30-60 minutes a day,Less than 15 minutes a day,None of these,None of these,Hybrid (on-prem and cloud),Traditional public search engine,Other:,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,Appropriate in length,Easy,83243.0,9.0
10585,10586,I am a developer by profession,25-34 years old,"Student, full-time;Employed, part-time",In-person,Apples,Hobby;Contribute to open-source projects;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)","Technical documentation;Blogs;Stack Overflow;Coding sessions (live or recorded);Social Media;AI;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),3,1,"Developer, back-end","10,000 or more employees",I have little or no influence,Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,Other:,Australia,AUD	Australian dollar,84000.0,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;Scala;SQL;TypeScript,Bash/Shell (all shells);Elixir;Go;JavaScript;Lua;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;JavaScript;Lua;Python;Rust;SQL;TypeScript,Databricks SQL;DuckDB;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Clickhouse;Cockroachdb;DuckDB;Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,DuckDB;Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Databricks;Linode, now Akamai",Amazon Web Services (AWS),Amazon Web Services (AWS),Django;Htmx;Node.js;React,Htmx,Htmx,CMake;GNU GCC;Rasberry Pi,Arduino;CMake;GNU GCC;Rasberry Pi,CMake;GNU GCC;Rasberry Pi,Apache Kafka;Apache Spark;Hadoop;NumPy;OpenGL;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Apache Kafka;Apache Spark;Hadoop;Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;Tauri;Torch/PyTorch,Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Ansible;APT;Docker;Gradle;Homebrew;Kubernetes;Make;Nix;npm;Webpack,APT;Docker;Homebrew;Kubernetes;Make;Nix,APT;Docker;Homebrew;Kubernetes;Make;Nix,Eclipse;IntelliJ IDEA;Neovim;Visual Studio Code,Neovim,Neovim,Android;Other (please specify):,MacOS,Confluence;Jira;Markdown File;Obsidian;Trello,Markdown File,Markdown File,Discord;Microsoft Teams;Signal;Slack;Zoom,Discord;Signal;Slack,Discord;Signal;Slack,Bing AI;ChatGPT;Claude;GitHub Copilot;Meta AI,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not at all",Yes,Indifferent,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Neither good or bad at handling complex tasks,Debugging and getting help;Search for answers;Generating content or synthetic data,Testing code,Learning about a codebase;Project planning;Writing code;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,Debugging and getting help,Generating content or synthetic data,Search for answers,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Energy demand,"Don’t trust the output or answers;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,2.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,1-2 times a week,1-2 times a week,60-120 minutes a day,Less than 15 minutes a day,Amount of technical debt;Showing my contributions;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Internal Developer portal,Software Development,10.0,0.0,0.0,10.0,20.0,20.0,20.0,10.0,10.0,Too long,Difficult,55495.0,9.0
10682,10683,I am a developer by profession,35-44 years old,"Employed, full-time;Employed, part-time",Remote,Apples,Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Social Media;AI;Certification videos,API document(s) and/or SDK document(s);Traditional public search engine,24,21,"Developer, back-end",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Frequent updates to features,Australia,AUD	Australian dollar,166258.0,C;C#;Delphi;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Alibaba Cloud;Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js,Angular;ASP.NET CORE;jQuery;Node.js;React,Angular;ASP.NET CORE;jQuery;Node.js,,,,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,.NET (5+) ,Docker;Webpack,Docker,Docker,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Ubuntu;Windows,Ubuntu;Windows,Confluence;Jira;Miro;Trello,Confluence;Jira;Trello,Confluence;Jira;Trello,Google Meet;Jitsi;Microsoft Teams;Skype;Whatsapp;Zoom,Google Meet;Microsoft Teams;Whatsapp,Google Meet;Microsoft Teams;Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions,"Yes, definitely","No, but I plan to soon",Unfavorable,,,,,,,,,,,,I'm not sure,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,109840.0,
10695,10696,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time",In-person,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;On the job training,,,24,,Hardware Engineer,,,,,,Australia,,,C;Python,C;Python,C;Python,,,,,,,,,,GNU GCC,GNU GCC,GNU GCC,NumPy;Scikit-Learn,NumPy;Opencv;Scikit-Learn,NumPy;Scikit-Learn,,,,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,Windows,Windows,Doxygen;Jira;Markdown File,Doxygen;Jira;Markdown File,Doxygen;Jira;Markdown File,Microsoft Teams,Microsoft Teams,Microsoft Teams,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,18.0,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,1-2 times a week,10+ times a week,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,Amount of technical debt,Automated testing;Knowledge sharing community,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,50.0,0.0,0.0,20.0,10.0,20.0,0.0,0.0,0.0,Appropriate in length,Easy,,6.0
10721,10722,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,20,15,"Developer, full-stack",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Frequent updates to features;Connected to an open source project,Australia,AUD	Australian dollar,150000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,MySQL;PostgreSQL;SQLite,MySQL,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Netlify;Vercel",Amazon Web Services (AWS);Cloudflare;Digital Ocean,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Laravel;Next.js;React;Strapi;WordPress,Laravel;React,Laravel;React,,,,Capacitor,Capacitor,Capacitor,Homebrew;npm;Vite,Homebrew;npm;Vite,Homebrew;npm;Vite,Sublime Text;Visual Studio Code,PhpStorm;Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,MacOS,MacOS;Ubuntu,Notion;Trello,Notion;Trello,Notion;Trello,Discord;Slack;Whatsapp,Discord;Slack;Whatsapp,Discord;Slack;Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions,"Yes, definitely",Yes,Unfavorable,Increase productivity;Greater efficiency,Highly distrust,Very poor at handling complex tasks,Writing code;Documenting code;Testing code;Search for answers;Generating content or synthetic data,Committing and reviewing code,Learning about a codebase;Project planning;Debugging and getting help;Deployment and monitoring;Predictive analytics,,,Testing code;Search for answers;Generating content or synthetic data,Writing code;Documenting code,,No,Replacing jobs without options for new employment opportunities,"Don’t trust the output or answers;They create more work (more code/PRs to review, etc.)",Yes,People manager,15.0,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,60-120 minutes a day,Amount of technical debt;Tracking my work,DevOps function;Automated testing;Observability tools;Microservices,Cloud only (single or multi-cloud),Slack search,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,99099.0,9.0
10770,10771,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Colleague;On the job training;Online Courses or Certification,,,5,3,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Reputation for quality and excellence;Connected to an open source project,Australia,AUD	Australian dollar,80000.0,Java;JavaScript;Python,Java;Python;SQL,Java;Python,Dynamodb;Oracle;PostgreSQL,Dynamodb;Oracle;PostgreSQL,Dynamodb;Oracle;PostgreSQL,Amazon Web Services (AWS);Managed Hosting,Amazon Web Services (AWS);Managed Hosting,Amazon Web Services (AWS);Managed Hosting,Node.js;React;Spring Boot;WordPress,Spring Boot,Spring Boot,,,,NumPy;Pandas;Scikit-Learn;Spring Framework,NumPy;Pandas;Scikit-Learn;Spring Framework,NumPy;Pandas;Scikit-Learn;Spring Framework,Docker;npm,Docker,Docker,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm,Ubuntu;Windows,Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Markdown File;Miro,Confluence;Jira;Markdown File;Miro,Confluence;Jira;Markdown File;Miro,Cisco Webex Teams;Discord;Google Meet;Microsoft Teams;Whatsapp;Zoom,Discord;Microsoft Teams;Slack;Whatsapp;Zoom,Discord;Microsoft Teams;Whatsapp;Zoom,ChatGPT;WolframAlpha,ChatGPT;Claude;GitHub Copilot;Meta AI;OpenAI Codex;WolframAlpha;Snyk Code,ChatGPT;WolframAlpha,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions,"No, not really","No, but I plan to soon",Unfavorable,,,,,,,,,,,,No,Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Don’t trust the output or answers;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,7.0,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Never,1-2 times a week,Never,15-30 minutes a day,Less than 15 minutes a day,Amount of technical debt;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Government,30.0,0.0,65.0,40.0,60.0,60.0,65.0,50.0,70.0,Too long,Neither easy nor difficult,52853.0,6.0
10801,10802,I am a developer by profession,35-44 years old,"Employed, full-time;Student, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Friend or family member",Technical documentation;Books;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),16,7,"Developer, back-end",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Is set up to be customized and needs to be engineered into a usable product,APIs;Quality support system;Reputation for quality and excellence,Australia,AUD	Australian dollar,130000.0,JavaScript;Python;TypeScript,C;Go;Rust,,Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis,PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS),Cloudflare;Google Cloud;OpenStack,,Express;Node.js,Deno,,,,,NumPy;Pandas;Scikit-Learn,Apache Kafka;Apache Spark;CUDA;Hadoop;RabbitMQ;Spring Framework,,Docker;Kubernetes;npm;Pip,Docker;Kubernetes;Make;Puppet;Terraform,Docker;Kubernetes,WebStorm,Neovim;Vim;WebStorm,WebStorm,Debian;Ubuntu;Windows,Ubuntu,Confluence;Jira,Confluence;Jira,Confluence;Jira,Microsoft Teams;Slack,Slack,Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Indifferent,Speed up learning,Somewhat trust,Very poor at handling complex tasks,Testing code,Learning about a codebase;Documenting code;Debugging and getting help;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Project planning;Writing code;Committing and reviewing code,,,Testing code,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,7.0,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Complexity of tech stack for deployment;Patching/updating core components;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Other:,0.0,0.0,20.0,50.0,0.0,0.0,30.0,0.0,0.0,Appropriate in length,Easy,85886.0,6.0
